donor,recipient,commitment_amount_usd_constant,coalesced_purpose_name
Austria,Brazil,12462,Social/ welfare services
Austria,Brazil,7475,Communications policy and administrative management
Austria,Brazil,14457,Education facilities and training
Austria,Brazil,28915,Multisector aid for social services
Austria,Brazil,41926,Biosphere protection
Austria,Brazil,24245,Employment policy and administrative management
Austria,Brazil,14457,Strengthening civil society
Austria,Brazil,26023,Basic drinking water supply and basic sanitation
Austria,Brazil,21686,Rural development
Austria,Brazil,681047,Administrative costs
Austria,Chile,140534,Higher education
Austria,Colombia,14457,Social/ welfare services
Austria,Colombia,9253,Security system management and reform
Austria,Colombia,14457,Water supply and sanitation - large systems
Austria,Colombia,13879,Strengthening civil society
Austria,Colombia,77058,Strengthening civil society
Austria,Colombia,16192,Social/ welfare services
Austria,Colombia,702668,Higher education
Austria,India,10881,Health policy and administrative management
Austria,India,253003,Rural development
Austria,India,14457,Social/ welfare services
Austria,India,18072,Education policy and administrative management
Austria,India,13178,Higher education
Austria,India,61444,Basic health care
Austria,India,140979,Material relief assistance and services
Austria,India,21686,Medical services
Austria,India,21686,Strengthening civil society
Austria,India,21686,Multisector aid for social services
Austria,India,28915,Vocational training
Austria,India,1762075,Higher education
Austria,India,14457,Informal/semi-formal financial intermediaries
Austria,India,14457,Social/ welfare services
Austria,India,29509,Material relief assistance and services
Austria,India,43372,Social/ welfare services
Austria,India,14457,Informal/semi-formal financial intermediaries
Austria,Thailand,281153,Higher education
Austria,Thailand,20081,Higher education
Austria,Thailand,648617,Higher education
Austria,Thailand,28915,Education facilities and training
Belgium,Brazil,10856,Social/ welfare services
Belgium,Chile,12593,Multisector aid for social services
Belgium,South Africa,229367,Strengthening civil society
Belgium,South Africa,163231,Employment policy and admin. mgmt.
Belgium,South Africa,7360,Women's equality organisations and institutions
Belgium,South Africa,125210,Research/scientific institutions
Belgium,South Africa,71572,Sectors not specified
Belgium,South Africa,220240,Multisector aid
Belgium,South Africa,184553,Agricultural policy and administrative management
Belgium,South Africa,91734,Agricultural policy and administrative management
Belgium,South Africa,159569,STD control including HIV/AIDS
Belgium,South Africa,111321,Economic and development policy/planning
Belgium,South Africa,113782,Women's equality organisations and institutions
Belgium,South Africa,118349,Agricultural co-operatives
Belgium,South Africa,99705,Agricultural co-operatives
Belgium,South Africa,72130,Environmental research
Belgium,South Africa,6477,Employment policy and admin. mgmt.
Belgium,South Africa,66411,Sectors not specified
Belgium,South Africa,764099,Agricultural research
Belgium,South Africa,135424,Employment policy and admin. mgmt.
Belgium,South Africa,67427,Employment policy and admin. mgmt.
Belgium,South Africa,10856,Multisector aid for social services
Belgium,South Africa,59057,Education policy and administrative management
Belgium,South Africa,34603,Agricultural education/training
Belgium,South Africa,396194,STD control including HIV/AIDS
Belgium,South Africa,15923,Agricultural land resources
Belgium,South Africa,52111,Sectors not specified
Belgium,South Africa,508718,Health policy and administrative management
Belgium,South Africa,52858,Higher education
Belgium,South Africa,22929,Medical services
Belgium,South Africa,60796,Small and medium-sized enterprises (SME) development
Belgium,South Africa,138103,Small and medium-sized enterprises (SME) development
Belgium,South Africa,56064,Waste management/disposal
Belgium,South Africa,94089,Culture and recreation
Belgium,South Africa,73701,Employment policy and administrative management
Belgium,South Africa,26393,Sectors not specified
Belgium,South Africa,1158014,Infectious & Parasitic disease control
Belgium,South Africa,126127,Agricultural policy and administrative management
Belgium,South Africa,72618,Legal and judicial development
Belgium,South Africa,1129757,Advanced tech. & managerial training
Belgium,South Africa,708411,Advanced tech. & managerial training
Belgium,South Africa,26007,STD control including HIV/AIDS
Belgium,South Africa,61512,Democratic participation and civil society
Belgium,South Africa,95925,Strengthening civil society
Belgium,South Africa,447826,Employment policy and administrative management
Belgium,South Africa,145028,Sectors not specified
Belgium,South Africa,7238,Social/ welfare services
Belgium,South Africa,145910,Agricultural education/training
Belgium,South Africa,115801,Government administration
Belgium,South Africa,202652,Government administration
Belgium,South Africa,108564,Higher education
Belgium,South Africa,115801,Higher education
Belgium,South Africa,204304,Medical education/training
Belgium,South Africa,146570,Legal and judicial development
Belgium,South Africa,1388296,STD control including HIV/AIDS
Belgium,South Africa,11021,Social/ welfare services
Belgium,South Africa,63610,Sectors not specified
Belgium,South Africa,57901,Culture and recreation
Belgium,South Africa,57901,Culture and recreation
Belgium,South Africa,57901,Culture and recreation
Belgium,South Africa,57901,Culture and recreation
Belgium,South Africa,54354,Culture and recreation
Belgium,South Africa,57901,Culture and recreation
Belgium,South Africa,57901,Culture and recreation
Belgium,South Africa,179751,Culture and recreation
Belgium,South Africa,175284,Relief co-ordination; protection and support services
Belgium,South Africa,63610,Sectors not specified
Belgium,South Africa,10602,Sectors not specified
Belgium,South Africa,32077,Social/ welfare services
Belgium,South Africa,86893,Strengthening civil society
Belgium,South Africa,173730,Agricultural development
Belgium,South Africa,151749,Legal and judicial development
Belgium,South Africa,130883,Strengthening civil society
Belgium,South Africa,89325,Strengthening civil society
Belgium,South Africa,1078400,Higher education
Belgium,South Africa,262157,Social/ welfare services
Italy,India,91872,Vocational training
Luxembourg,Brazil,56239,Primary education
Switzerland,South Africa,96108,Emergency food aid
Belgium,Chile,25647,Sectors not specified
Belgium,Brazil,92798,Sectors not specified
Belgium,Brazil,7238,Social/ welfare services
Belgium,Brazil,200872,Water transport
Belgium,Brazil,181,Multisector aid
Belgium,Brazil,129098,Democratic participation and civil society
Belgium,Brazil,106031,Agricultural co-operatives
Belgium,Brazil,106031,Vocational training
Belgium,Brazil,5790,Agricultural education/training
Belgium,Brazil,2895,Social/ welfare services
Belgium,Brazil,3619,Agricultural education/training
Belgium,Brazil,267142,Urban development and management
Belgium,Brazil,766470,Agricultural education/training
Belgium,Brazil,622091,Vocational training
Belgium,Brazil,35972,Agricultural co-operatives
Belgium,Brazil,23934,Vocational training
Belgium,Brazil,14475,Social/ welfare services
Belgium,Brazil,3958,Agricultural education/training
Belgium,Brazil,3384,Agricultural education/training
Belgium,Brazil,10067,Agricultural education/training
Belgium,Brazil,5790,Information and communication technology (ICT)
Belgium,Brazil,12304,Housing policy and administrative management
Belgium,Brazil,5564,Social/ welfare services
Belgium,Brazil,8380,Forestry policy and administrative management
Belgium,Brazil,274098,Employment policy and administrative management
Belgium,Brazil,189542,Research/scientific institutions
Belgium,Brazil,44411,Higher education
Belgium,Brazil,17370,Agricultural education/training
Belgium,Brazil,102901,Strengthening civil society
Belgium,Brazil,49956,Strengthening civil society
Belgium,Brazil,58319,Human rights
Belgium,Chile,19319,Forestry policy and administrative management
Belgium,Chile,40516,Forestry development
Belgium,Chile,225260,Water resources policy and administrative management
Belgium,Chile,50805,Forestry development
Belgium,Chile,54926,Forestry development
Belgium,Chile,72376,Economic and development policy/planning
Belgium,Chile,23405,Vocational training
Belgium,Chile,500960,Multisector aid
Belgium,Chile,7238,Reproductive health care
Belgium,Colombia,17118,Sectors not specified
Belgium,Colombia,9681,Strengthening civil society
Belgium,Colombia,136140,Agricultural policy and administrative management
Belgium,Colombia,144752,Land mine clearance
Belgium,Colombia,155350,Social/welfare services
Belgium,Colombia,98431,Small and medium-sized enterprises (SME) development
Belgium,Colombia,769,Power generation/non-renewable sources
Belgium,Colombia,153194,Informal/semi-formal financial intermediaries
Belgium,Colombia,7238,Social/ welfare services
Belgium,Colombia,39020,Democratic participation and civil society
Belgium,Colombia,87567,Trade policy and admin. management
Belgium,Colombia,58943,Public sector policy and adm. management
Belgium,Colombia,35898,Trade policy and admin. management
Belgium,Colombia,32276,Sectors not specified
Belgium,Colombia,160123,Agricultural research
Belgium,Colombia,14475,Housing policy and administrative management
Belgium,Colombia,106707,Agricultural education/training
Belgium,Colombia,127264,Employment policy and admin. mgmt.
Belgium,Colombia,162912,Food crop production
Belgium,Colombia,18094,Social/ welfare services
Belgium,Colombia,72005,Land mine clearance
Belgium,Colombia,132539,Democratic participation and civil society
Belgium,Colombia,126905,Social/welfare services
Belgium,Colombia,49804,Democratic participation and civil society
Belgium,Colombia,225117,Strengthening civil society
Belgium,Colombia,20069,Vocational training
Belgium,Colombia,54,Informal/semi-formal financial intermediaries
Belgium,Colombia,4632,Multisector aid for social services
Belgium,Colombia,260149,Agricultural education/training
Belgium,Colombia,431492,Basic life skills for youth and adults
Belgium,Colombia,325958,Basic life skills for youth and adults
Belgium,Colombia,929365,Vocational training
Belgium,Colombia,158087,Employment policy and admin. mgmt.
Belgium,Colombia,12267,Mineral/mining policy and administrative management
Belgium,Colombia,14475,Multisector aid
Belgium,Colombia,99955,Higher education
Spain,India,4637,Sectors not specified
Spain,India,5694,Basic life skills for youth and adults
Spain,India,59007,Sectors not specified
Spain,India,352341,Industrial development
Spain,India,111725,Primary education
Spain,India,12684,Social/ welfare services
Spain,India,15602,Agricultural research
Belgium,India,28950,Rural development
Belgium,India,89297,Informal/semi-formal financial intermediaries
Belgium,India,527044,Information and communication technology (ICT)
Belgium,India,19967,Small and medium-sized enterprises (SME) development
Belgium,India,23683,Small and medium-sized enterprises (SME) development
Belgium,India,15681,Multisector aid
Belgium,India,4343,Multisector aid for social services
Belgium,India,14475,Agricultural education/training
Belgium,India,44151,Information and communication technology (ICT)
Belgium,India,23754,Small and medium-sized enterprises (SME) development
Belgium,India,250095,Social/ welfare services
Belgium,India,90392,Small and medium-sized enterprises (SME) development
Belgium,India,43715,Strengthening civil society
Belgium,India,284242,Health personnel development
Belgium,India,52455,Multisector education/training
Belgium,India,7238,Social/ welfare services
Belgium,India,7238,Vocational training
Belgium,India,4343,Social/welfare services
Belgium,India,2171,Basic drinking water supply and basic sanitation
Belgium,India,2171,Social/ welfare services
Belgium,India,2316,Basic drinking water supply and basic sanitation
Belgium,India,1448,Low-cost housing
Belgium,India,1882,Strengthening civil society
Belgium,India,1303,Basic health infrastructure
Belgium,India,1448,Education facilities and training
Belgium,India,1448,Education facilities and training
Belgium,India,869,Waste management/disposal
Belgium,India,869,Waste management/disposal
Belgium,India,12883,Waste management/disposal
Belgium,India,1448,Education facilities and training
Belgium,India,9988,Education facilities and training
Belgium,India,210940,Employment policy and administrative management
Belgium,India,361387,Social/welfare services
Belgium,India,3619,Multisector aid for social services
Belgium,India,5790,Multisector aid for social services
Belgium,India,7238,Multisector aid for social services
Belgium,India,7238,Multisector aid for social services
Belgium,India,6514,Multisector aid for social services
Belgium,India,3619,Multisector aid for social services
Belgium,India,14475,Education facilities and training
Belgium,India,7238,Education facilities and training
Belgium,India,17370,Education facilities and training
Belgium,India,18094,Education facilities and training
Belgium,India,14475,Education facilities and training
Belgium,India,4922,Education facilities and training
Belgium,India,7238,Basic drinking water supply and basic sanitation
Belgium,India,3329,Agricultural inputs
Belgium,India,18094,Social/ welfare services
Belgium,India,18094,Education facilities and training
Belgium,India,17370,Education facilities and training
Belgium,India,5645,Education facilities and training
Belgium,India,1929664,Vocational training
Belgium,India,384820,Vocational training
Belgium,India,137497,Infectious & Parasitic disease control
Belgium,India,92253,Employment policy and admin. mgmt.
Belgium,India,1086,Social/ welfare services
Belgium,India,4784,Basic health care
Belgium,India,191121,Sectors not specified
Belgium,India,80612,Strengthening civil society
Belgium,India,58027,Human rights
Belgium,India,121132,Human rights
Belgium,India,155466,Basic health care
Belgium,India,109553,Social/ welfare services
Belgium,India,32984,Medical research
Belgium,India,2895035,Research/scientific institutions
Belgium,India,67567,Informal/semi-formal financial intermediaries
Belgium,India,165804,Democratic participation and civil society
Belgium,India,150237,Vocational training
Belgium,India,1039211,Infectious & Parasitic disease control
Denmark,South Africa,107513,Sectors not specified
Belgium,Thailand,12769,Sectors not specified
Belgium,Thailand,47975,Employment policy and admin. mgmt.
Belgium,Thailand,49144,Agricultural policy and administrative management
Belgium,Thailand,7238,Agricultural policy and administrative management
Belgium,Thailand,53761,Employment policy and admin. mgmt.
Belgium,Thailand,9200,Employment policy and admin. mgmt.
Belgium,Thailand,72376,Education facilities and training
Belgium,Thailand,118053,Economic and development policy/planning
Denmark,South Africa,16616,Sectors not specified
Denmark,South Africa,7624,Sectors not specified
Italy,Brazil,91872,Education facilities and training
Denmark,South Africa,78191,Sectors not specified
Denmark,South Africa,68026,Sectors not specified
Denmark,South Africa,32254,Sectors not specified
Denmark,South Africa,537564,Small and medium-sized enterprises (SME) development
Denmark,South Africa,921092,Small and medium-sized enterprises (SME) development
Denmark,South Africa,1955,Sectors not specified
